"MOLECULE","Prediction"
"ACT1_M_55977",-2.14052
"ACT1_M_56076",-2.7699
"ACT1_M_56467",2.78082
"ACT1_M_56483",-1.51032
"ACT1_M_57507",1.23573
"ACT1_M_57530",-2.92471
"ACT1_M_57547",1.46682
"ACT1_M_57800",0.934287
"ACT1_M_57973",-0.842918
"ACT1_M_58006",-0.0381943
"ACT1_M_58564",0.245856
"ACT1_M_58642",6.04687
"ACT1_M_59671",-2.93945
"ACT1_M_59673",-2.97744
"ACT1_M_60440",-2.71823
"ACT1_M_60978",-1.81443
"ACT1_M_61287",-2.80186
"ACT1_M_63076",0.534091
"ACT1_M_63763",-1.05369
"ACT1_M_64567",0.235093
"ACT1_M_66921",-2.40797
"ACT1_M_67606",0.179533
"ACT1_M_68169",-2.49223
"ACT1_M_68175",-2.63172
"ACT1_M_68535",10.2624
"ACT1_M_69102",-2.66398
"ACT1_M_74148",0.865956
"ACT1_M_75357",-2.75401
"ACT1_M_75841",-2.24532
"ACT1_M_75842",-1.34247
"ACT1_M_82361",-2.62027
"ACT1_M_88383",-1.21689
"ACT1_M_88517",-2.30453
"ACT1_M_89341",-0.324414
"ACT1_M_92614",-1.43886
"ACT1_M_98001",-2.12962
"ACT1_M_99118",8.58337
"ACT1_M_102655",-1.67989
"ACT1_M_105191",1.6698
"ACT1_M_108865",0.36185
"ACT1_M_108866",-2.69227
"ACT1_M_109736",-1.92228
"ACT1_M_110338",-0.442204
"ACT1_M_111321",-0.672235
"ACT1_M_111576",1.15176
"ACT1_M_111996",-1.67823
"ACT1_M_112566",-1.43249
"ACT1_M_114732",0.77093
"ACT1_M_114762",-1.28113
"ACT1_M_114763",2.65746
"ACT1_M_114767",-2.62433
"ACT1_M_114768",-2.67203
"ACT1_M_114769",-2.57648
"ACT1_M_114770",-1.78985
"ACT1_M_114774",-2.89498
"ACT1_M_114824",-1.80376
"ACT1_M_114851",-0.49589
"ACT1_M_115070",2.49755
"ACT1_M_115194",1.54943
"ACT1_M_115327",1.96404
"ACT1_M_115412",-2.8761
"ACT1_M_115414",-1.21686
"ACT1_M_116226",-1.13617
"ACT1_M_116363",-2.35649
"ACT1_M_116479",8.83734
"ACT1_M_116584",4.03993
"ACT1_M_116723",6.25669
"ACT1_M_116902",0.468894
"ACT1_M_118192",-2.54323
"ACT1_M_118370",-1.03034
"ACT1_M_118622",1.70518
"ACT1_M_118784",4.69131
"ACT1_M_119699",-2.28381
"ACT1_M_119808",5.48622
"ACT1_M_120386",5.90903
"ACT1_M_120430",-1.56334
"ACT1_M_120555",-0.039793
"ACT1_M_120556",-1.22599
"ACT1_M_120563",0.74122
"ACT1_M_120585",-0.420851
"ACT1_M_120588",-2.99426
"ACT1_M_120594",3.95822
"ACT1_M_120599",-1.41221
"ACT1_M_120604",-1.54655
"ACT1_M_120606",0.199127
"ACT1_M_120610",-0.4888
"ACT1_M_120614",2.96709
"ACT1_M_120616",1.84488
"ACT1_M_120620",-1.9811
"ACT1_M_120626",0.600358
"ACT1_M_120639",4.43037
"ACT1_M_120640",1.24279
"ACT1_M_120641",2.62105
"ACT1_M_120642",0.903207
"ACT1_M_120643",1.23293
"ACT1_M_120644",0.530598
"ACT1_M_120645",0.612534
"ACT1_M_120660",-0.273481
"ACT1_M_120661",-1.28388
"ACT1_M_120675",-2.27474
"ACT1_M_120684",-2.40522
"ACT1_M_120685",-1.69295
"ACT1_M_120687",-2.63807
"ACT1_M_120689",1.28222
"ACT1_M_120699",-1.55666
"ACT1_M_120703",0.0948008
"ACT1_M_120711",-1.88553
"ACT1_M_120726",2.77003
"ACT1_M_120733",1.81841
"ACT1_M_120777",-0.393859
"ACT1_M_120778",0.607415
"ACT1_M_120779",1.78909
"ACT1_M_120780",0.656521
"ACT1_M_120782",-0.13807
"ACT1_M_120786",0.142998
"ACT1_M_120789",-2.4014
"ACT1_M_120913",0.389408
"ACT1_M_120922",0.497955
"ACT1_M_121003",-2.07455
"ACT1_M_121139",-2.99617
"ACT1_M_121140",-2.96276
"ACT1_M_121141",-2.70603
"ACT1_M_121142",-2.95187
"ACT1_M_121144",-2.97713
"ACT1_M_121145",-2.81254
"ACT1_M_121146",-2.01151
"ACT1_M_121147",-0.857496
"ACT1_M_121171",0.30141
"ACT1_M_121185",1.8276
"ACT1_M_121212",1.16509
"ACT1_M_121218",-1.58745
"ACT1_M_121219",-0.83557
"ACT1_M_121221",0.248344
"ACT1_M_121222",-1.93073
"ACT1_M_121224",1.00538
"ACT1_M_121225",0.334506
"ACT1_M_121229",0.342178
"ACT1_M_121249",3.3179
"ACT1_M_121281",2.35003
"ACT1_M_121282",2.55644
"ACT1_M_121283",0.57409
"ACT1_M_121284",2.52904
"ACT1_M_121293",-0.954706
"ACT1_M_121294",-2.50238
"ACT1_M_121297",3.17748
"ACT1_M_121303",1.10119
"ACT1_M_121310",0.8022
"ACT1_M_121315",0.52483
"ACT1_M_121327",-0.035137
"ACT1_M_121330",-1.1388
"ACT1_M_121333",3.18184
"ACT1_M_121334",-2.99897
"ACT1_M_121338",-1.14636
"ACT1_M_121340",-2.68779
"ACT1_M_121374",-1.84508
"ACT1_M_121379",-1.12162
"ACT1_M_121412",0.934836
"ACT1_M_121416",-0.632709
"ACT1_M_121417",1.58276
"ACT1_M_121418",1.53248
"ACT1_M_121419",1.53248
"ACT1_M_121427",-0.507476
"ACT1_M_121449",1.53521
"ACT1_M_121468",0.371148
"ACT1_M_121479",0.984703
"ACT1_M_121524",1.67073
"ACT1_M_121531",-1.67378
"ACT1_M_121532",-2.72072
"ACT1_M_121539",-1.09496
"ACT1_M_121543",-1.13929
"ACT1_M_121544",3.76301
"ACT1_M_121545",4.18415
"ACT1_M_121546",2.67432
"ACT1_M_121551",0.767173
"ACT1_M_121552",4.58539
"ACT1_M_121555",2.74861
"ACT1_M_121557",3.16432
"ACT1_M_121558",4.89997
"ACT1_M_121559",2.56463
"ACT1_M_121560",3.37273
"ACT1_M_121561",3.3899
"ACT1_M_121583",-2.68642
"ACT1_M_121589",-1.16575
"ACT1_M_121606",-0.568499
"ACT1_M_121653",6.25798
"ACT1_M_121654",-2.84847
"ACT1_M_121656",-1.88263
"ACT1_M_121674",-0.343031
"ACT1_M_121677",1.39829
"ACT1_M_121678",-0.614933
"ACT1_M_121679",-2.61996
"ACT1_M_121681",2.8564
"ACT1_M_121682",6.49629
"ACT1_M_121683",0.785282
"ACT1_M_121694",-1.67179
"ACT1_M_121697",2.30904
"ACT1_M_121698",-2.00543
"ACT1_M_121699",-2.0298
"ACT1_M_121702",-1.27006
"ACT1_M_121711",4.3575
"ACT1_M_121712",1.46236
"ACT1_M_121722",5.68959
"ACT1_M_121723",7.18916
"ACT1_M_121726",-0.338476
"ACT1_M_121728",-1.48497
"ACT1_M_121734",0.540999
"ACT1_M_121735",-0.0413881
"ACT1_M_121743",2.62057
"ACT1_M_121745",0.408002
"ACT1_M_121746",2.67184
"ACT1_M_121822",1.51113
"ACT1_M_121832",-0.747425
"ACT1_M_121846",3.57186
"ACT1_M_121849",2.13909
"ACT1_M_121851",-2.92368
"ACT1_M_121855",-2.37416
"ACT1_M_121856",-2.03784
"ACT1_M_121859",-0.125305
"ACT1_M_121930",3.26979
"ACT1_M_122027",-2.85612
"ACT1_M_122087",-2.37439
"ACT1_M_122103",-1.96941
"ACT1_M_122108",-1.75574
"ACT1_M_122109",1.1549
"ACT1_M_122110",-1.41813
"ACT1_M_122114",-1.39895
"ACT1_M_122123",-2.63364
"ACT1_M_122492",0.39238
"ACT1_M_122611",4.75093
"ACT1_M_122776",1.10899
"ACT1_M_122801",-2.91913
"ACT1_M_122818",-1.04531
"ACT1_M_122819",-2.4791
"ACT1_M_122820",-1.6505
"ACT1_M_122850",0.0449782
"ACT1_M_122889",0.952327
"ACT1_M_122895",-2.97958
"ACT1_M_122899",-2.79513
"ACT1_M_123008",1.32543
"ACT1_M_123012",-2.77059
"ACT1_M_123023",-2.98424
"ACT1_M_123035",0.0105797
"ACT1_M_123036",-0.08765
"ACT1_M_123055",-0.04653
"ACT1_M_123070",-2.5526
"ACT1_M_123072",-0.882301
"ACT1_M_123075",-1.55897
"ACT1_M_123077",-0.931562
"ACT1_M_123078",-1.45028
"ACT1_M_123599",-1.99078
"ACT1_M_123653",2.26749
"ACT1_M_123664",-2.77835
"ACT1_M_124006",0.784139
"ACT1_M_124415",2.60821
"ACT1_M_124823",4.46365
"ACT1_M_125044",3.73577
"ACT1_M_125119",3.01918
"ACT1_M_125120",3.01918
"ACT1_M_125610",1.59493
"ACT1_M_125613",-2.27855
"ACT1_M_125614",0.577158
"ACT1_M_125615",2.90668
"ACT1_M_125618",-1.95766
"ACT1_M_125619",-2.60179
"ACT1_M_125621",-1.5538
"ACT1_M_125623",-1.45723
"ACT1_M_125642",-0.25021
"ACT1_M_125647",-1.27573
"ACT1_M_125752",-2.47102
"ACT1_M_125923",1.28333
"ACT1_M_125928",-1.05253
"ACT1_M_125932",1.17285
"ACT1_M_126188",0.73456
"ACT1_M_126388",-0.65149
"ACT1_M_126404",1.35977
"ACT1_M_126468",-0.421652
"ACT1_M_126560",-1.35314
"ACT1_M_126688",0.479797
"ACT1_M_126726",-2.68696
"ACT1_M_126791",-1.00875
"ACT1_M_126872",-2.34599
"ACT1_M_127283",0.4579
"ACT1_M_127428",-0.227102
"ACT1_M_127442",-2.28068
"ACT1_M_127648",-2.88116
"ACT1_M_127695",-2.19935
"ACT1_M_127819",-2.74843
"ACT1_M_127973",4.50636
"ACT1_M_128150",0.151529
"ACT1_M_128185",1.89618
"ACT1_M_129789",1.33461
"ACT1_M_129891",2.117
"ACT1_M_129892",-1.43299
"ACT1_M_130042",3.59638
"ACT1_M_130063",-1.64665
"ACT1_M_130159",0.171654
"ACT1_M_130239",-2.9702
"ACT1_M_130264",0.602973
"ACT1_M_130371",-0.961881
"ACT1_M_130376",-1.35335
"ACT1_M_130527",4.55386
"ACT1_M_130528",4.55386
"ACT1_M_130529",4.55387
"ACT1_M_130658",-0.517669
"ACT1_M_130989",-0.185493
"ACT1_M_131226",-2.98959
"ACT1_M_131363",-2.22901
"ACT1_M_131364",-2.22901
"ACT1_M_131373",3.61064
"ACT1_M_131390",-0.402258
"ACT1_M_131391",-0.44061
"ACT1_M_131392",0.562852
"ACT1_M_131393",0.368469
"ACT1_M_131394",-0.322349
"ACT1_M_131395",3.5072
"ACT1_M_131396",2.86516
"ACT1_M_131408",-2.19367
"ACT1_M_131499",4.85843
"ACT1_M_131554",0.641074
"ACT1_M_131572",3.97994
"ACT1_M_131576",-2.5097
"ACT1_M_131583",1.29239
"ACT1_M_131606",0.652704
"ACT1_M_131877",-2.9653
"ACT1_M_131880",1.82994
"ACT1_M_132122",0.0244967
"ACT1_M_132182",-2.7232
"ACT1_M_132201",3.24487
"ACT1_M_132253",17.7819
"ACT1_M_132266",4.8367
"ACT1_M_132308",6.03382
"ACT1_M_132317",-0.755796
"ACT1_M_132803",1.49088
"ACT1_M_132906",4.13735
"ACT1_M_132908",-0.409591
"ACT1_M_132909",0.956957
"ACT1_M_133011",4.30792
"ACT1_M_133013",-0.100144
"ACT1_M_133029",-1.7271
"ACT1_M_133069",2.1029
"ACT1_M_133079",-0.934869
"ACT1_M_133132",1.52168
"ACT1_M_133139",2.15506
"ACT1_M_133177",-0.465528
"ACT1_M_133178",-1.28422
"ACT1_M_133180",-1.52485
"ACT1_M_133181",-1.73599
"ACT1_M_133201",1.27993
"ACT1_M_133202",1.27993
"ACT1_M_133224",-2.83287
"ACT1_M_133523",1.33678
"ACT1_M_133703",0.692614
"ACT1_M_133796",-0.773587
"ACT1_M_133799",-1.34768
"ACT1_M_133837",4.30939
"ACT1_M_133838",1.89076
"ACT1_M_133840",0.691309
"ACT1_M_133842",1.20034
"ACT1_M_133843",-2.25173
"ACT1_M_133943",2.5605
"ACT1_M_133944",6.55278
"ACT1_M_133945",4.53492
"ACT1_M_133995",1.8548
"ACT1_M_134031",-2.34924
"ACT1_M_134055",-0.403091
"ACT1_M_134127",-0.624163
"ACT1_M_134288",-1.38521
"ACT1_M_134289",2.47951
"ACT1_M_134542",-1.7755
"ACT1_M_134570",2.98577
"ACT1_M_134578",-0.760768
"ACT1_M_134595",-2.19113
"ACT1_M_134606",-2.45663
"ACT1_M_134613",-2.85579
"ACT1_M_134614",-2.98752
"ACT1_M_134616",-2.5793
"ACT1_M_134617",-0.613088
"ACT1_M_134668",-1.49759
"ACT1_M_134697",-2.23179
"ACT1_M_134714",1.22251
"ACT1_M_134758",-0.379394
"ACT1_M_134772",-2.61727
"ACT1_M_134773",-2.8406
"ACT1_M_134902",-0.105635
"ACT1_M_135005",-2.14507
"ACT1_M_135052",4.7675
"ACT1_M_135053",4.84477
"ACT1_M_135054",4.94596
"ACT1_M_135055",4.66045
"ACT1_M_135082",-2.85282
"ACT1_M_135132",-1.37134
"ACT1_M_135219",-2.19859
"ACT1_M_135242",4.74797
"ACT1_M_135320",1.38633
"ACT1_M_135373",-2.53669
"ACT1_M_135377",-2.08662
"ACT1_M_135389",3.67118
"ACT1_M_135392",-2.54793
"ACT1_M_135407",-1.48257
"ACT1_M_135414",-1.61892
"ACT1_M_135421",-2.9689
"ACT1_M_135422",-2.9689
"ACT1_M_135465",-2.60242
"ACT1_M_135540",-2.04033
"ACT1_M_135544",-2.45225
"ACT1_M_135560",0.028903
"ACT1_M_135593",-2.76557
"ACT1_M_135630",1.54643
"ACT1_M_135633",-1.29235
"ACT1_M_135635",-0.329129
"ACT1_M_135636",-2.82032
"ACT1_M_135637",-2.78699
"ACT1_M_135645",-0.413914
"ACT1_M_135648",-2.72295
"ACT1_M_135656",-1.60658
"ACT1_M_135657",1.81245
"ACT1_M_135658",-2.08185
"ACT1_M_135662",-2.73439
"ACT1_M_135680",-2.53128
"ACT1_M_135681",-2.77187
"ACT1_M_135682",-2.18886
"ACT1_M_135684",-0.325062
"ACT1_M_135686",-2.69682
"ACT1_M_135716",-2.06947
"ACT1_M_135719",-1.37648
"ACT1_M_135724",1.6786
"ACT1_M_135730",3.93898
"ACT1_M_135731",5.70156
"ACT1_M_135830",-1.15329
"ACT1_M_135842",6.60578
"ACT1_M_135860",3.75041
"ACT1_M_135866",0.0425634
"ACT1_M_135867",-1.58482
"ACT1_M_135892",-2.84655
"ACT1_M_135896",0.000298774
"ACT1_M_135967",1.29136
"ACT1_M_135977",-2.89869
"ACT1_M_136009",-0.36252
"ACT1_M_136020",-2.98783
"ACT1_M_136066",-2.2985
"ACT1_M_136069",-1.34137
"ACT1_M_136077",0.482197
"ACT1_M_136104",-1.66072
"ACT1_M_136107",-2.30295
"ACT1_M_136216",-1.98277
"ACT1_M_136241",-1.44895
"ACT1_M_136243",0.0782644
"ACT1_M_136246",-2.12446
"ACT1_M_136247",-2.0492
"ACT1_M_136258",0.21053
"ACT1_M_136280",3.3049
"ACT1_M_136283",6.70971
"ACT1_M_136284",6.06858
"ACT1_M_136298",1.98956
"ACT1_M_136299",2.51885
"ACT1_M_136302",6.71548
"ACT1_M_136348",-1.53021
"ACT1_M_136354",-2.27846
"ACT1_M_136355",-1.93928
"ACT1_M_136410",-1.77566
"ACT1_M_136420",-0.93576
"ACT1_M_136423",-1.92071
"ACT1_M_136502",-2.77304
"ACT1_M_136537",-2.15803
"ACT1_M_136538",-1.42996
"ACT1_M_136548",-0.383622
"ACT1_M_136549",-2.60512
"ACT1_M_136550",-2.63214
"ACT1_M_136554",-2.89075
"ACT1_M_136560",1.95959
"ACT1_M_136565",0.858717
"ACT1_M_136599",3.00959
"ACT1_M_136600",-2.18622
"ACT1_M_136627",0.195325
"ACT1_M_136661",-1.84585
"ACT1_M_136662",0.967235
"ACT1_M_136668",0.242705
"ACT1_M_136670",-1.34431
"ACT1_M_136675",-1.84332
"ACT1_M_136691",-2.62448
"ACT1_M_136738",0.0417103
"ACT1_M_136739",-1.35685
"ACT1_M_136774",-1.28668
"ACT1_M_136791",-1.68409
"ACT1_M_136796",-2.94211
"ACT1_M_136799",-0.399463
"ACT1_M_136806",2.22449
"ACT1_M_136808",-2.46822
"ACT1_M_136812",-2.38389
"ACT1_M_136813",-2.38389
"ACT1_M_136814",0.838689
"ACT1_M_136815",-2.39149
"ACT1_M_136816",6.35433
"ACT1_M_136820",-2.40729
"ACT1_M_136838",-2.27809
"ACT1_M_136847",0.671099
"ACT1_M_136849",0.913439
"ACT1_M_136851",1.13286
"ACT1_M_136853",4.18846
"ACT1_M_136858",-0.843271
"ACT1_M_136862",0.93883
"ACT1_M_136887",-1.5456
"ACT1_M_136890",6.10851
"ACT1_M_136891",1.53217
"ACT1_M_136892",-0.532262
"ACT1_M_136893",0.10632
"ACT1_M_136894",-0.303501
"ACT1_M_136895",10.5089
"ACT1_M_136921",-2.44321
"ACT1_M_136984",-1.83556
"ACT1_M_136993",-2.88627
"ACT1_M_136995",-0.397438
"ACT1_M_136996",-2.88294
"ACT1_M_136998",0.0545499
"ACT1_M_137009",-1.52087
"ACT1_M_137011",-0.484995
"ACT1_M_137013",4.19056
"ACT1_M_137014",-0.995916
"ACT1_M_137016",-2.50917
"ACT1_M_137024",0.58401
"ACT1_M_137026",-2.81465
"ACT1_M_137051",-0.2215
"ACT1_M_137052",-1.35982
"ACT1_M_137058",3.36908
"ACT1_M_137059",-1.14468
"ACT1_M_137065",-2.02047
"ACT1_M_137071",2.47081
"ACT1_M_137072",0.766634
"ACT1_M_137073",-1.84019
"ACT1_M_137074",0.0258349
"ACT1_M_137077",-2.71077
"ACT1_M_137078",-2.71077
"ACT1_M_137079",-2.31895
"ACT1_M_137080",-2.79681
"ACT1_M_137081",-2.82654
"ACT1_M_137085",-2.0775
"ACT1_M_137099",1.10003
"ACT1_M_137152",4.39027
"ACT1_M_137154",-2.65663
"ACT1_M_137171",-1.64089
"ACT1_M_137179",-1.9693
"ACT1_M_137182",2.44722
"ACT1_M_137183",1.17224
"ACT1_M_137184",1.30279
"ACT1_M_137185",1.37412
"ACT1_M_137186",0.950718
"ACT1_M_137187",1.4265
"ACT1_M_137188",1.6937
"ACT1_M_137191",-2.92083
"ACT1_M_137219",-2.33712
"ACT1_M_137221",-0.386708
"ACT1_M_137228",-0.262976
"ACT1_M_137230",-2.98032
"ACT1_M_137232",-2.71586
"ACT1_M_137233",-1.7673
"ACT1_M_137240",4.75399
"ACT1_M_137244",-0.515792
"ACT1_M_137254",-1.85405
"ACT1_M_137284",0.182682
"ACT1_M_137285",-1.57383
"ACT1_M_137287",1.61921
"ACT1_M_137288",0.501037
"ACT1_M_137289",0.804723
"ACT1_M_137290",-0.786624
"ACT1_M_137291",0.649738
"ACT1_M_137292",-2.87708
"ACT1_M_137307",-0.709331
"ACT1_M_137308",0.332692
"ACT1_M_137333",2.01328
"ACT1_M_137342",-1.75706
"ACT1_M_137344",-1.63797
"ACT1_M_137360",1.30234
"ACT1_M_137361",-2.89402
"ACT1_M_137369",-1.86799
"ACT1_M_137370",-1.18524
"ACT1_M_137371",-2.76003
"ACT1_M_137372",-2.76003
"ACT1_M_137395",-2.61807
"ACT1_M_137417",0.323335
"ACT1_M_137418",-2.25634
"ACT1_M_137419",0.404807
"ACT1_M_137420",-1.72684
"ACT1_M_137421",-0.12968
"ACT1_M_137501",-0.726744
"ACT1_M_137507",-2.84365
"ACT1_M_137516",0.623034
"ACT1_M_137521",-0.790147
"ACT1_M_137598",-1.77014
"ACT1_M_137634",-2.50852
"ACT1_M_137635",-1.11857
"ACT1_M_137644",-2.24653
"ACT1_M_137690",-0.0599993
"ACT1_M_137722",-0.624353
"ACT1_M_137730",2.18567
"ACT1_M_137761",3.2968
"ACT1_M_137762",-1.29876
"ACT1_M_137763",-1.06479
"ACT1_M_137764",-0.675083
"ACT1_M_137765",-1.70428
"ACT1_M_137766",-2.96991
"ACT1_M_137767",0.431773
"ACT1_M_137770",1.03831
"ACT1_M_137771",0.711007
"ACT1_M_137772",-0.285762
"ACT1_M_137773",0.489062
"ACT1_M_137774",0.843244
"ACT1_M_137805",5.0265
"ACT1_M_137806",8.70545
"ACT1_M_137807",8.30145
"ACT1_M_137846",-2.07966
"ACT1_M_137848",-2.02521
"ACT1_M_137850",-2.10647
"ACT1_M_137855",-2.5469
"ACT1_M_137876",-2.47106
"ACT1_M_137931",-1.81774
"ACT1_M_137934",-2.66422
"ACT1_M_137938",-2.60594
"ACT1_M_138000",1.24294
"ACT1_M_138001",-0.480227
"ACT1_M_138002",-0.859617
"ACT1_M_138004",0.990501
"ACT1_M_138005",-1.39837
"ACT1_M_138024",0.567218
"ACT1_M_138039",-0.284473
"ACT1_M_138045",7.14312
"ACT1_M_138079",-2.61421
"ACT1_M_138081",-2.81687
"ACT1_M_138082",-2.40214
"ACT1_M_138087",-2.37209
"ACT1_M_138120",-1.43518
"ACT1_M_138141",1.90848
"ACT1_M_138143",1.67125
"ACT1_M_138144",3.06931
"ACT1_M_138166",-2.55815
"ACT1_M_138168",-2.42804
"ACT1_M_138170",-0.265008
"ACT1_M_138171",-1.07537
"ACT1_M_138174",-2.51497
"ACT1_M_138182",-2.18369
"ACT1_M_138205",-1.23741
"ACT1_M_138215",-1.99401
"ACT1_M_138221",3.96567
"ACT1_M_138231",-2.87032
"ACT1_M_138232",-2.50553
"ACT1_M_138235",-2.92635
"ACT1_M_138257",-2.67783
"ACT1_M_138273",-2.05879
"ACT1_M_138274",-2.98958
"ACT1_M_138284",-2.02874
"ACT1_M_138287",-2.86268
"ACT1_M_138289",-1.4725
"ACT1_M_138290",-1.81413
"ACT1_M_138291",-2.68374
"ACT1_M_138292",-1.17332
"ACT1_M_138293",-1.75437
"ACT1_M_138294",2.11071
"ACT1_M_138295",-0.471087
"ACT1_M_138296",2.8332
"ACT1_M_138298",0.819444
"ACT1_M_138300",3.87887
"ACT1_M_138301",1.90998
"ACT1_M_138304",18.5917
"ACT1_M_138305",14.1614
"ACT1_M_138306",7.9785
"ACT1_M_138308",10.8568
"ACT1_M_138309",11.6774
"ACT1_M_138310",13.8919
"ACT1_M_138312",10.8568
"ACT1_M_138313",-2.17206
"ACT1_M_138314",0.744542
"ACT1_M_138335",4.63353
"ACT1_M_138338",-2.51692
"ACT1_M_138339",2.4725
"ACT1_M_138340",2.33714
"ACT1_M_138341",0.982731
"ACT1_M_138342",1.87139
"ACT1_M_138343",1.64519
"ACT1_M_138345",-2.51691
"ACT1_M_138346",-0.0840517
"ACT1_M_138347",0.737974
"ACT1_M_138374",-1.85389
"ACT1_M_138375",-0.988099
"ACT1_M_138377",-1.84131
"ACT1_M_138378",-1.69524
"ACT1_M_138379",-0.646252
"ACT1_M_138384",-2.68501
"ACT1_M_138399",-2.42291
"ACT1_M_138400",-2.38129
"ACT1_M_138402",3.0751
"ACT1_M_138403",1.01928
"ACT1_M_138405",3.80539
"ACT1_M_138406",1.29686
"ACT1_M_138407",2.92266
"ACT1_M_138408",3.41752
"ACT1_M_138409",2.56142
"ACT1_M_138410",3.37727
"ACT1_M_138416",-2.34691
"ACT1_M_138419",0.735012
"ACT1_M_138425",13.2845
"ACT1_M_138428",10.6415
"ACT1_M_138429",16.5073
"ACT1_M_138430",8.01168
"ACT1_M_138432",8.09921
"ACT1_M_138433",10.7764
"ACT1_M_138436",6.37994
"ACT1_M_138437",12.1916
"ACT1_M_138439",6.11168
"ACT1_M_138440",7.6003
"ACT1_M_138441",3.37733
"ACT1_M_138442",1.01902
"ACT1_M_138443",-1.29793
"ACT1_M_138446",-2.26304
"ACT1_M_138447",1.07428
"ACT1_M_138448",-1.81401
"ACT1_M_138449",0.353782
"ACT1_M_138450",-1.82082
"ACT1_M_138451",0.629869
"ACT1_M_138452",-1.5683
"ACT1_M_138453",1.68174
"ACT1_M_138454",-0.971613
"ACT1_M_138455",-2.42189
